srch_yn,org_nm,cycle,stat_nm,stat_cd,p_stat_cd,base_dt,batch_log_idx
N,,,10.6.1. 자본재형태별 총자본형성,000Y566,000Y565,20220324,1189
Y,,QQ,10.6.1.1. 자본재형태별 총자본형성,111Y022,000Y566,20220324,1189
Y,,QQ,10.6.1.2. 자본재형태별 총자본형성,111Y023,000Y566,20220324,1189
Y,,YY,10.6.1.3. 자본재형태별 총자본형성,111Y020,000Y566,20220324,1189
Y,,QQ,10.6.1.4. 자본재형태별 총자본형성,111Y021,000Y566,20220324,1189
N,,,10.6.2. 주체별 총자본형성,000Y568,000Y565,20220324,1189
Y,,QQ,10.6.2.1. 주체별 총자본형성,111Y056,000Y568,20220324,1189
Y,,QQ,10.6.2.2. 주체별 총자본형성,111Y057,000Y568,20220324,1189
Y,,QQ,10.6.2.3. 주체별 총고정자본형성,111Y080,000Y568,20220324,1189
Y,,QQ,10.6.2.4. 주체별 총고정자본형성,111Y081,000Y568,20220324,1189
N,,,10.6.3. 경제활동별 총고정자본형성,000Y567,000Y565,20220324,1189
Y,,YY,10.6.3.1 경제활동별 총고정자본형성,111Y038,000Y567,20220324,1189
Y,,YY,10.6.3.2 경제활동별 총고정자본형성,111Y039,000Y567,20220324,1189
Y,,YY,10.6.3.3 경제활동별 자본재형태별 총고정자본형성,111Y082,000Y567,20220324,1189
N,,,10.6.4. 경제활동별 설비투자,000Y569,000Y565,20220324,1189
Y,,YY,10.6.4.1 경제활동별 설비투자,111Y069,000Y569,20220324,1189
Y,,YY,10.6.4.2 원화의 대미달러 원화의 대위안,111Y070,000Y569,20220324,1189
N,,,10.7. 최종소비지출,000Y570,000Y551,20220324,1189
N,,,10.7.1. 가계의 최종소비지출,000Y571,000Y570,20220324,1189
N,,,10.7.1.1. 가계의 목적별 최종소비지출,000Y572,000Y571,20220324,1189
Y,,QQ,10.7.1.1.1. 가계의 목적별 최종소비지출,111Y026,000Y572,20220324,1189
Y,,QQ,10.7.1.1.2. 가계의 목적별 최종소비지출,111Y027,000Y572,20220324,1189
Y,,QQ,10.7.1.1.3. 가계의 목적별 최종소비지출,111Y024,000Y572,20220324,1189
Y,,QQ,10.7.1.1.4. 가계의 목적별 최종소비지출,111Y025,000Y572,20220324,1189
N,,,10.7.1.2. 가계의 형태별 최종소비지출,000Y573,000Y571,20220324,1189
Y,,QQ,10.7.1.2.1. 가계의 형태별 최종소비지출,111Y051,000Y573,20220324,1189
Y,,QQ,10.7.1.2.2. 가계의 형태별 최종소비지출,111Y052,000Y573,20220324,1189
Y,,QQ,10.7.1.2.3. 가계의 형태별 최종소비지출,111Y028,000Y573,20220324,1189
Y,,QQ,10.7.1.2.4. 가계의 형태별 최종소비지출,111Y029,000Y573,20220324,1189
N,,,10.7.2. 가계에 봉사하는 비영리단체의 최종소비지출 및 투입·산출,000Y574,000Y570,20220324,1189
N,,,10.7.2.1. 가계에 봉사하는 비영리단체의 목적별 최종소비지출,000Y575,000Y574,20220324,1189
Y,,YY,10.7.2.1.1 가계에 봉사하는 비영리단체의 목적별 최종소비지출,111Y030,000Y575,20220324,1189
Y,,YY,10.7.2.1.2 가계에 봉사하는 비영리단체의 목적별 최종소비지출,111Y031,000Y575,20220324,1189
Y,,YY,10.7.2.2. 가계에 봉사하는 비영리단체의 목적별 투입 및 산출,111Y064,000Y574,20220324,1189
N,,,10.8. 일반정부 및 공공부문계정,000Y576,000Y551,20220324,1189
Y,,YY,10.8.1. 일반정부의 부문별 기능별 최종소비지출,111Y065,000Y576,20220324,1189
Y,,YY,10.8.2. 일반정부의 부문별 기능별 총지출 ,111Y066,000Y576,20220324,1189
Y,,YY,10.8.3. 원화의 대미달러 원화의 대위안,111Y068,000Y576,20220324,1189
N,,,10.9. 총저축과 총투자,000Y577,000Y551,20220324,1189
Y,,QQ,10.9.1. 총저축과 총투자,111Y053,000Y577,20220324,1189
Y,,QQ,10.9.2. 총저축과 총투자,111Y037,000Y577,20220324,1189
N,,,10.10. 정보통신산업,000Y578,000Y551,20220324,1189
Y,,QQ,10.10.1. 정보통신산업,111Y054,000Y578,20220324,1189
Y,,QQ,10.10.2. 정보통신산업,111Y048,000Y578,20220324,1189
Y,,YY,10.8.4. 원화의 대미달러 원화의 대위안 ,111Y067,000Y576,20220324,1189
N,,,11.자금순환,000Y010,*,20220324,1189
N,,,11.1.2008 SNA 기준,012Y000,000Y010,20220324,1189
Y,,QQ,11.1.1 금융거래표,012Y501,012Y000,20220324,1189
Y,,QQ,11.1.2 금융자산부채잔액표,012Y502,012Y000,20220324,1189
N,,,11.2.1993 SNA 기준,012Y200,000Y010,20220324,1189
Y,,QQ,11.2.1 금융거래표,012Y101,012Y200,20220324,1189
Y,,QQ,11.2.2 금융자산부채잔액표,012Y102,012Y200,20220324,1189
N,,,11.3.1968 SNA 기준 ,012Y100,000Y010,20220324,1189
Y,,QQ,11.3.1 금융거래표,012Y001,012Y100,20220324,1189
Y,,QQ,11.3.2 금융자산부채잔액표,012Y002,012Y100,20220324,1189
N,,,11.4.1968 SNA 기준 ,012Y400,000Y010,20220324,1189
Y,,YY,11.4.1 금융거래표,012Y301,012Y400,20220324,1189
Y,,YY,11.4.2 금융자산부채잔액표,012Y302,012Y400,20220324,1189
N,,,11.5.1953 SNA 기준 ,012Y300,000Y010,20220324,1189
Y,,YY,11.5.1 금융거래표,012Y201,012Y300,20220324,1189
Y,,YY,11.5.2 금융자산부채잔액표,012Y202,012Y300,20220324,1189
N,,,12.기업경영분석,000Y127,*,20220324,1189
N,,,12.1.기업경영분석지표,000Y152,000Y127,20220324,1189
Y,,YY,12.1.1 기업경영분석지표,027Y431,000Y152,20220324,1189
Y,,YY,12.1.2 기업경영분석지표,027Y331,000Y152,20220324,1189
Y,,YY,12.1.3 기업경영분석지표,027Y131,000Y152,20220324,1189
N,,,12.2.성장성에 관한지표,000Y142,000Y127,20220324,1189
Y,,YY,12.2.1 성장성에 관한 지표,027Y616,000Y142,20220324,1189
Y,,YY,12.2.2 성장성에 관한 지표,027Y516,000Y142,20220324,1189
Y,,YY,12.2.3 성장성에 관한 지표,027Y416,000Y142,20220324,1189
Y,,YY,12.2.4 성장성에 관한 지표,027Y316,000Y142,20220324,1189
Y,,YY,12.2.5 성장성에 관한 지표,027Y116,000Y142,20220324,1189
Y,,YY,12.2.6 성장성에 관한 지표,027Y117,000Y142,20220324,1189
N,,,12.3.손익의관계비율,000Y143,000Y127,20220324,1189
Y,,YY,12.3.1 손익의 관계비율,027Y618,000Y143,20220324,1189
Y,,YY,12.3.2 손익의 관계비율,027Y518,000Y143,20220324,1189
Y,,YY,12.3.3 손익의 관계비율,027Y418,000Y143,20220324,1189
Y,,YY,12.3.4 손익의 관계비율,027Y318,000Y143,20220324,1189
Y,,YY,12.3.5 손익의 관계비율,027Y118,000Y143,20220324,1189
Y,,YY,12.3.6 손익의 관계비율,027Y119,000Y143,20220324,1189
N,,,12.4.자산·자본의관계비율,000Y144,000Y127,20220324,1189
Y,,YY,12.4.1 자산·자본의 관계비율,027Y620,000Y144,20220324,1189
Y,,YY,12.4.2 자산·자본의 관계비율,027Y520,000Y144,20220324,1189
Y,,YY,12.4.3 자산·자본의 관계비율,027Y420,000Y144,20220324,1189
Y,,YY,12.4.4 자산·자본의 관계비율,027Y320,000Y144,20220324,1189
Y,,YY,12.4.5 자산·자본의 관계비율,027Y120,000Y144,20220324,1189
Y,,YY,12.4.6 자산·자본의 관계비율,027Y121,000Y144,20220324,1189
N,,,12.5.자산·자본의회전율,000Y145,000Y127,20220324,1189
Y,,YY,12.5.1 자산·자본의 회전율,027Y622,000Y145,20220324,1189
Y,,YY,12.5.2 자산·자본의 회전율,027Y522,000Y145,20220324,1189
Y,,YY,12.5.3 자산·자본의 회전율,027Y422,000Y145,20220324,1189
Y,,YY,12.5.4 자산·자본의 회전율,027Y322,000Y145,20220324,1189
Y,,YY,12.5.5 자산·자본의 회전율,027Y122,000Y145,20220324,1189
Y,,YY,12.5.6 자산·자본의 회전율,027Y123,000Y145,20220324,1189
N,,,12.6.생산성에관한지표,000Y146,000Y127,20220324,1189
Y,,YY,12.6.1 생산성에 관한 지표,027Y624,000Y146,20220324,1189
Y,,YY,12.6.2 생산성에 관한 지표,027Y524,000Y146,20220324,1189
Y,,YY,12.6.3 생산성에 관한 지표,027Y424,000Y146,20220324,1189
Y,,YY,12.6.4 생산성에 관한 지표,027Y324,000Y146,20220324,1189
Y,,YY,12.6.5 생산성에 관한 지표,027Y124,000Y146,20220324,1189
Y,,YY,12.6.6 생산성에 관한 지표,027Y224,000Y146,20220324,1189
Y,,YY,12.6.7 생산성에 관한 지표,027Y125,000Y146,20220324,1189
N,,,12.7.부가가치의 구성,000Y147,000Y127,20220324,1189
Y,,YY,12.7.1 부가가치의 구성,027Y626,000Y147,20220324,1189
Y,,YY,12.7.2 부가가치의 구성,027Y526,000Y147,20220324,1189
Y,,YY,12.7.3 부가가치의 구성,027Y426,000Y147,20220324,1189
Y,,YY,12.7.4 부가가치의 구성,027Y326,000Y147,20220324,1189
Y,,YY,12.7.5 부가가치의 구성,027Y126,000Y147,20220324,1189
Y,,YY,12.7.6 부가가치의 구성,027Y226,000Y147,20220324,1189
Y,,YY,12.7.7 부가가치의 구성,027Y127,000Y147,20220324,1189
N,,,12.8.재무상태표,000Y138,000Y127,20220324,1189
Y,,YY,12.8.1 재무상태표,027Y601,000Y138,20220324,1189
Y,,YY,12.8.2 재무상태표,027Y501,000Y138,20220324,1189
Y,,YY,12.8.3 재무상태표,027Y401,000Y138,20220324,1189
Y,,YY,12.8.4 재무상태표,027Y301,000Y138,20220324,1189
Y,,YY,12.8.5 재무상태표,027Y101,000Y138,20220324,1189
Y,,YY,12.8.6 재무상태표,027Y102,000Y138,20220324,1189
Y,,YY,12.8.7 재무상태표,027Y103,000Y138,20220324,1189
Y,,YY,12.8.8 재무상태표,027Y104,000Y138,20220324,1189
N,,,12.9.손익계산서,000Y139,000Y127,20220324,1189
Y,,YY,12.9.1 손익계산서,027Y605,000Y139,20220324,1189
Y,,YY,12.9.2 손익계산서,027Y505,000Y139,20220324,1189
Y,,YY,12.9.3 손익계산서,027Y405,000Y139,20220324,1189
Y,,YY,12.9.4 손익계산서,027Y305,000Y139,20220324,1189
Y,,YY,12.9.5 손익계산서,027Y105,000Y139,20220324,1189
Y,,YY,12.9.6 손익계산서,027Y106,000Y139,20220324,1189
Y,,YY,12.9.7 손익계산서,027Y107,000Y139,20220324,1189
Y,,YY,12.9.8 손익계산서,027Y108,000Y139,20220324,1189
N,,,12.10.제조원가명세서,000Y140,000Y127,20220324,1189
Y,,YY,12.10.1 제조원가명세서,027Y609,000Y140,20220324,1189
Y,,YY,12.10.2 제조원가명세서,027Y509,000Y140,20220324,1189
Y,,YY,12.10.3 제조원가명세서,027Y409,000Y140,20220324,1189
Y,,YY,12.10.4 제조원가명세서,027Y309,000Y140,20220324,1189
Y,,YY,12.10.5 제조원가명세서,027Y109,000Y140,20220324,1189
Y,,YY,12.10.6 제조원가명세서,027Y110,000Y140,20220324,1189
N,,,12.11.이익잉여금   처분계산서,000Y141,000Y127,20220324,1189
Y,,YY,12.11.1 이익잉여금처분계산서,027Y611,000Y141,20220324,1189
Y,,YY,12.11.2 이익잉여금처분계산서,027Y511,000Y141,20220324,1189
Y,,YY,12.11.3 이익잉여금처분계산서,027Y411,000Y141,20220324,1189
Y,,YY,12.11.4 이익잉여금처분계산서,027Y311,000Y141,20220324,1189
Y,,YY,12.11.5 이익잉여금처분계산서,027Y111,000Y141,20220324,1189
Y,,YY,12.11.6 이익잉여금처분계산서,027Y112,000Y141,20220324,1189
N,,,12.12.현금흐름표,000Y149,000Y127,20220324,1189
Y,,YY,12.12.1 현금흐름표,027Y413,000Y149,20220324,1189
Y,,YY,12.12.2 현금흐름표,027Y313,000Y149,20220324,1189
Y,,YY,12.12.3 현금흐름표,027Y113,000Y149,20220324,1189
N,,,12.13.현금흐름관련  기타주요재무항목,000Y150,000Y127,20220324,1189
Y,,YY,12.13.1 현금흐름관련기타주요재무항목,027Y414,000Y150,20220324,1189
Y,,YY,12.13.2 현금흐름관련기타주요재무항목,027Y314,000Y150,20220324,1189
Y,,YY,12.13.3 현금흐름관련기타주요재무항목,027Y114,000Y150,20220324,1189
N,,,12.14.현금흐름비율,000Y151,000Y127,20220324,1189
Y,,YY,12.14.1 현금흐름비율,027Y415,000Y151,20220324,1189
Y,,YY,12.14.2 현금흐름비율,027Y315,000Y151,20220324,1189
Y,,YY,12.14.3 현금흐름비율,027Y115,000Y151,20220324,1189
N,,,12.15. 기업경영분석,000Y153,000Y127,20220324,1189
Y,,QQ,12.15.1 성장성에 관한 지표,027Y215,000Y153,20220324,1189
Y,,QQ,12.15.2 손익의 관계비율,027Y216,000Y153,20220324,1189
Y,,QQ,12.15.3 자산 자본의 관계비율,027Y217,000Y153,20220324,1189
Y,,QQ,12.15.4 자산의 회전율,027Y218,000Y153,20220324,1189
N,,,12.16. 기업경영분석 분위수,000Y157,000Y127,20220324,1189
Y,,YY,12.16.1 기업경영분석 분위수,027Y612,000Y157,20220324,1189
Y,,YY,12.16.2 기업경영분석 분위수,027Y240,000Y157,20220324,1189
N,,,12.17. 기업경영분석,000Y154,000Y127,20220324,1189
N,,,12.17.1. 기업경영분석,000Y166,000Y154,20220324,1189
N,,,12.17.1.1. 부산,000Y450,000Y166,20220324,1189
Y,,YY,12.17.1.1.1. 성장성에 관한 지표,BA9Y616,000Y450,20220324,1189
Y,,YY,12.17.1.1.2. 손익의관계비율,BA9Y618,000Y450,20220324,1189
Y,,YY,12.17.1.1.3. 자산·자본의관계비율,BA9Y620,000Y450,20220324,1189
Y,,YY,12.17.1.1.4. 자산·자본의회전율,BA9Y622,000Y450,20220324,1189
Y,,YY,12.17.1.1.5. 생산성에관한지표,BA9Y624,000Y450,20220324,1189
Y,,YY,12.17.1.1.6. 부가가치의 구성,BA9Y626,000Y450,20220324,1189
Y,,YY,12.17.1.1.7. 재무상태표,BA9Y601,000Y450,20220324,1189
Y,,YY,12.17.1.1.8. 손익계산서,BA9Y605,000Y450,20220324,1189
Y,,YY,12.17.1.1.9. 제조원가명세서,BA9Y609,000Y450,20220324,1189
Y,,YY,12.17.1.1.10. 이익잉여금   처분계산서,BA9Y611,000Y450,20220324,1189
N,,,12.17.1.2. 대구경북,000Y451,000Y166,20220324,1189
Y,,YY,12.17.1.2.1. 성장성에 관한 지표,CA9Y616,000Y451,20220324,1189
Y,,YY,12.17.1.2.2. 손익의관계비율,CA9Y618,000Y451,20220324,1189
Y,,YY,12.17.1.2.3. 자산·자본의관계비율,CA9Y620,000Y451,20220324,1189
Y,,YY,12.17.1.2.4. 자산·자본의회전율,CA9Y622,000Y451,20220324,1189
Y,,YY,12.17.1.2.5. 생산성에관한지표,CA9Y624,000Y451,20220324,1189
Y,,YY,12.17.1.2.6. 부가가치의 구성,CA9Y626,000Y451,20220324,1189
Y,,YY,12.17.1.2.7. 재무상태표,CA9Y601,000Y451,20220324,1189
Y,,YY,12.17.1.2.8. 손익계산서,CA9Y605,000Y451,20220324,1189
Y,,YY,12.17.1.2.9. 제조원가명세서,CA9Y609,000Y451,20220324,1189
Y,,YY,12.17.1.2.10. 이익잉여금   처분계산서,CA9Y611,000Y451,20220324,1189
N,,,12.17.1.3. 광주전남,000Y452,000Y166,20220324,1189
Y,,YY,12.17.1.3.1. 성장성에 관한 지표,FA9Y616,000Y452,20220324,1189
Y,,YY,12.17.1.3.2. 손익의관계비율,FA9Y618,000Y452,20220324,1189
Y,,YY,12.17.1.3.3. 자산·자본의관계비율,FA9Y620,000Y452,20220324,1189
Y,,YY,12.17.1.3.4. 자산·자본의회전율,FA9Y622,000Y452,20220324,1189
Y,,YY,12.17.1.3.5. 생산성에관한지표,FA9Y624,000Y452,20220324,1189
Y,,YY,12.17.1.3.6. 부가가치의 구성,FA9Y626,000Y452,20220324,1189
Y,,YY,12.17.1.3.7. 재무상태표,FA9Y601,000Y452,20220324,1189
Y,,YY,12.17.1.3.8. 손익계산서,FA9Y605,000Y452,20220324,1189
Y,,YY,12.17.1.3.9. 제조원가명세서,FA9Y609,000Y452,20220324,1189
Y,,YY,12.17.1.3.10. 이익잉여금   처분계산서,FA9Y611,000Y452,20220324,1189
N,,,12.17.1.4. 대전충남,000Y453,000Y166,20220324,1189
Y,,YY,12.17.1.4.1. 성장성에 관한 지표,EA9Y616,000Y453,20220324,1189
Y,,YY,12.17.1.4.2. 손익의관계비율,EA9Y618,000Y453,20220324,1189
Y,,YY,12.17.1.4.3. 자산·자본의관계비율,EA9Y620,000Y453,20220324,1189
Y,,YY,12.17.1.4.4. 자산·자본의회전율,EA9Y622,000Y453,20220324,1189
Y,,YY,12.17.1.4.5. 생산성에관한지표,EA9Y624,000Y453,20220324,1189
Y,,YY,12.17.1.4.6. 부가가치의 구성,EA9Y626,000Y453,20220324,1189
Y,,YY,12.17.1.4.7. 재무상태표,EA9Y601,000Y453,20220324,1189
Y,,YY,12.17.1.4.8. 손익계산서,EA9Y605,000Y453,20220324,1189
Y,,YY,12.17.1.4.9. 제조원가명세서,EA9Y609,000Y453,20220324,1189
Y,,YY,12.17.1.4.10. 이익잉여금   처분계산서,EA9Y611,000Y453,20220324,1189
N,,,12.17.1.5. 충북,000Y454,000Y166,20220324,1189
Y,,YY,12.17.1.5.1. 성장성에 관한 지표,NA9Y616,000Y454,20220324,1189
Y,,YY,12.17.1.5.2. 손익의관계비율,NA9Y618,000Y454,20220324,1189
Y,,YY,12.17.1.5.3. 자산·자본의관계비율,NA9Y620,000Y454,20220324,1189
Y,,YY,12.17.1.5.4. 자산·자본의회전율,NA9Y622,000Y454,20220324,1189
Y,,YY,12.17.1.5.5. 생산성에관한지표,NA9Y624,000Y454,20220324,1189
Y,,YY,12.17.1.5.6. 부가가치의 구성,NA9Y626,000Y454,20220324,1189
Y,,YY,12.17.1.5.7. 재무상태표,NA9Y601,000Y454,20220324,1189
Y,,YY,12.17.1.5.8. 손익계산서,NA9Y605,000Y454,20220324,1189
Y,,YY,12.17.1.5.9. 제조원가명세서,NA9Y609,000Y454,20220324,1189
Y,,YY,12.17.1.5.10. 이익잉여금   처분계산서,NA9Y611,000Y454,20220324,1189
N,,,12.17.1.6. 강원,000Y455,000Y166,20220324,1189
Y,,YY,12.17.1.6.1. 성장성에 관한 지표,MA9Y616,000Y455,20220324,1189
Y,,YY,12.17.1.6.2. 손익의관계비율,MA9Y618,000Y455,20220324,1189
Y,,YY,12.17.1.6.3. 자산·자본의관계비율,MA9Y620,000Y455,20220324,1189
Y,,YY,12.17.1.6.4. 자산·자본의회전율,MA9Y622,000Y455,20220324,1189
Y,,YY,12.17.1.6.5. 생산성에관한지표,MA9Y624,000Y455,20220324,1189
Y,,YY,12.17.1.6.6. 부가가치의 구성,MA9Y626,000Y455,20220324,1189
Y,,YY,12.17.1.6.7. 재무상태표,MA9Y601,000Y455,20220324,1189
Y,,YY,12.17.1.6.8. 손익계산서,MA9Y605,000Y455,20220324,1189
Y,,YY,12.17.1.6.9. 제조원가명세서,MA9Y609,000Y455,20220324,1189
Y,,YY,12.17.1.6.10. 이익잉여금   처분계산서,MA9Y611,000Y455,20220324,1189
N,,,12.17.1.7. 인천,000Y456,000Y166,20220324,1189
Y,,YY,12.17.1.7.1. 성장성에 관한 지표,DA9Y616,000Y456,20220324,1189
Y,,YY,12.17.1.7.2. 손익의관계비율,DA9Y618,000Y456,20220324,1189
Y,,YY,12.17.1.7.3. 자산·자본의관계비율,DA9Y620,000Y456,20220324,1189
Y,,YY,12.17.1.7.4. 자산·자본의회전율,DA9Y622,000Y456,20220324,1189
Y,,YY,12.17.1.7.5. 생산성에관한지표,DA9Y624,000Y456,20220324,1189
Y,,YY,12.17.1.7.6. 부가가치의 구성,DA9Y626,000Y456,20220324,1189
Y,,YY,12.17.1.7.7. 재무상태표,DA9Y601,000Y456,20220324,1189
Y,,YY,12.17.1.7.8. 손익계산서,DA9Y605,000Y456,20220324,1189
Y,,YY,12.17.1.7.9. 제조원가명세서,DA9Y609,000Y456,20220324,1189
Y,,YY,12.17.1.7.10. 이익잉여금   처분계산서,DA9Y611,000Y456,20220324,1189
N,,,12.17.1.8. 제주,000Y457,000Y166,20220324,1189
Y,,YY,12.17.1.8.1. 성장성에 관한 지표,UA9Y616,000Y457,20220324,1189
Y,,YY,12.17.1.8.2. 손익의관계비율,UA9Y618,000Y457,20220324,1189
Y,,YY,12.17.1.8.3. 자산·자본의관계비율,UA9Y620,000Y457,20220324,1189
Y,,YY,12.17.1.8.4. 자산·자본의회전율,UA9Y622,000Y457,20220324,1189
Y,,YY,12.17.1.8.5. 생산성에관한지표,UA9Y624,000Y457,20220324,1189
Y,,YY,12.17.1.8.6. 부가가치의 구성,UA9Y626,000Y457,20220324,1189
Y,,YY,12.17.1.8.7. 재무상태표,UA9Y601,000Y457,20220324,1189
Y,,YY,12.17.1.8.8. 손익계산서,UA9Y605,000Y457,20220324,1189
Y,,YY,12.17.1.8.9. 제조원가명세서,UA9Y609,000Y457,20220324,1189
N,,,12.17.1.9. 경기,000Y458,000Y166,20220324,1189
Y,,YY,12.17.1.9.1. 성장성에 관한 지표,LA9Y616,000Y458,20220324,1189
Y,,YY,12.17.1.9.2. 손익의관계비율,LA9Y618,000Y458,20220324,1189
Y,,YY,12.17.1.9.3. 자산·자본의관계비율,LA9Y620,000Y458,20220324,1189
Y,,YY,12.17.1.9.4. 자산·자본의회전율,LA9Y622,000Y458,20220324,1189
Y,,YY,12.17.1.9.5. 생산성에관한지표,LA9Y624,000Y458,20220324,1189
Y,,YY,12.17.1.9.6. 부가가치의 구성,LA9Y626,000Y458,20220324,1189
Y,,YY,12.17.1.9.7. 재무상태표,LA9Y601,000Y458,20220324,1189
Y,,YY,12.17.1.9.8. 손익계산서,LA9Y605,000Y458,20220324,1189
Y,,YY,12.17.1.9.9. 제조원가명세서,LA9Y609,000Y458,20220324,1189
Y,,YY,12.17.1.9.10. 이익잉여금   처분계산서,LA9Y611,000Y458,20220324,1189
N,,,12.17.1.10. 경남,000Y459,000Y166,20220324,1189
Y,,YY,12.17.1.10.1. 성장성에 관한 지표,TA9Y616,000Y459,20220324,1189
Y,,YY,12.17.1.10.2. 손익의관계비율,TA9Y618,000Y459,20220324,1189
Y,,YY,12.17.1.10.3. 자산·자본의관계비율,TA9Y620,000Y459,20220324,1189
Y,,YY,12.17.1.10.4. 자산·자본의회전율,TA9Y622,000Y459,20220324,1189
Y,,YY,12.17.1.10.5. 생산성에관한지표,TA9Y624,000Y459,20220324,1189
Y,,YY,12.17.1.10.6. 부가가치의 구성,TA9Y626,000Y459,20220324,1189
Y,,YY,12.17.1.10.7. 재무상태표,TA9Y601,000Y459,20220324,1189
Y,,YY,12.17.1.10.8. 손익계산서,TA9Y605,000Y459,20220324,1189
Y,,YY,12.17.1.10.9. 제조원가명세서,TA9Y609,000Y459,20220324,1189
N,,,12.17.1.11. 울산,000Y460,000Y166,20220324,1189
Y,,YY,12.17.1.11.1. 성장성에 관한 지표,GA9Y616,000Y460,20220324,1189
Y,,YY,12.17.1.11.2. 손익의관계비율,GA9Y618,000Y460,20220324,1189
Y,,YY,12.17.1.11.3. 자산·자본의관계비율,GA9Y620,000Y460,20220324,1189
Y,,YY,12.17.1.11.4. 자산·자본의회전율,GA9Y622,000Y460,20220324,1189
Y,,YY,12.17.1.11.5. 생산성에관한지표,GA9Y624,000Y460,20220324,1189
Y,,YY,12.17.1.11.6. 부가가치의 구성,GA9Y626,000Y460,20220324,1189
Y,,YY,12.17.1.11.7. 재무상태표,GA9Y601,000Y460,20220324,1189
Y,,YY,12.17.1.11.8. 손익계산서,GA9Y605,000Y460,20220324,1189
Y,,YY,12.17.1.11.9. 제조원가명세서,GA9Y609,000Y460,20220324,1189
Y,,YY,12.17.1.11.10. 이익잉여금   처분계산서,GA9Y611,000Y460,20220324,1189
N,,,12.17.2. 기업경영분석,000Y165,000Y154,20220324,1189
N,,,12.17.2.1. 부산,000Y260,000Y165,20220324,1189
Y,,YY,12.17.2.1.1. 성장성에 관한 지표,BA9Y516,000Y260,20220324,1189
Y,,YY,12.17.2.1.2. 손익의관계비율,BA9Y518,000Y260,20220324,1189
Y,,YY,12.17.2.1.3. 자산·자본의관계비율,BA9Y520,000Y260,20220324,1189
Y,,YY,12.17.2.1.4. 자산·자본의회전율,BA9Y522,000Y260,20220324,1189
Y,,YY,12.17.2.1.5. 생산성에관한지표,BA9Y524,000Y260,20220324,1189
Y,,YY,12.17.2.1.6. 부가가치의 구성,BA9Y526,000Y260,20220324,1189
Y,,YY,12.17.2.1.7. 재무상태표,BA9Y501,000Y260,20220324,1189
Y,,YY,12.17.2.1.8. 손익계산서,BA9Y505,000Y260,20220324,1189
Y,,YY,12.17.2.1.9. 제조원가명세서,BA9Y509,000Y260,20220324,1189
Y,,YY,12.17.2.1.10. 이익잉여금   처분계산서,BA9Y511,000Y260,20220324,1189
N,,,12.17.2.2. 대구경북,000Y261,000Y165,20220324,1189
Y,,YY,12.17.2.2.1. 성장성에 관한 지표,CA9Y516,000Y261,20220324,1189
Y,,YY,12.17.2.2.2. 손익의관계비율,CA9Y518,000Y261,20220324,1189
Y,,YY,12.17.2.2.3. 자산·자본의관계비율,CA9Y520,000Y261,20220324,1189
Y,,YY,12.17.2.2.4. 자산·자본의회전율,CA9Y522,000Y261,20220324,1189
Y,,YY,12.17.2.2.5. 생산성에관한지표,CA9Y524,000Y261,20220324,1189
Y,,YY,12.17.2.2.6. 부가가치의 구성,CA9Y526,000Y261,20220324,1189
Y,,YY,12.17.2.2.7. 재무상태표,CA9Y501,000Y261,20220324,1189
Y,,YY,12.17.2.2.8. 손익계산서,CA9Y505,000Y261,20220324,1189
Y,,YY,12.17.2.2.9. 제조원가명세서,CA9Y509,000Y261,20220324,1189
Y,,YY,12.17.2.2.10. 이익잉여금   처분계산서,CA9Y511,000Y261,20220324,1189
N,,,12.17.2.3. 광주전남,000Y262,000Y165,20220324,1189
Y,,YY,12.17.2.3.1. 성장성에 관한 지표,FA9Y516,000Y262,20220324,1189
Y,,YY,12.17.2.3.2. 손익의관계비율,FA9Y518,000Y262,20220324,1189
Y,,YY,12.17.2.3.3. 자산·자본의관계비율,FA9Y520,000Y262,20220324,1189
Y,,YY,12.17.2.3.4. 자산·자본의회전율,FA9Y522,000Y262,20220324,1189
Y,,YY,12.17.2.3.5. 생산성에관한지표,FA9Y524,000Y262,20220324,1189
Y,,YY,12.17.2.3.6. 부가가치의 구성,FA9Y526,000Y262,20220324,1189
Y,,YY,12.17.2.3.7. 재무상태표,FA9Y501,000Y262,20220324,1189
Y,,YY,12.17.2.3.8. 손익계산서,FA9Y505,000Y262,20220324,1189
Y,,YY,12.17.2.3.9. 제조원가명세서,FA9Y509,000Y262,20220324,1189
Y,,YY,12.17.2.3.10. 이익잉여금   처분계산서,FA9Y511,000Y262,20220324,1189
N,,,12.17.2.4. 대전충남,000Y263,000Y165,20220324,1189
Y,,YY,12.17.2.4.1. 성장성에 관한 지표,EA9Y516,000Y263,20220324,1189
Y,,YY,12.17.2.4.2. 손익의관계비율,EA9Y518,000Y263,20220324,1189
Y,,YY,12.17.2.4.3. 자산·자본의관계비율,EA9Y520,000Y263,20220324,1189
Y,,YY,12.17.2.4.4. 자산·자본의회전율,EA9Y522,000Y263,20220324,1189
Y,,YY,12.17.2.4.5. 생산성에관한지표,EA9Y524,000Y263,20220324,1189
Y,,YY,12.17.2.4.6. 부가가치의 구성,EA9Y526,000Y263,20220324,1189
Y,,YY,12.17.2.4.7. 재무상태표,EA9Y501,000Y263,20220324,1189
Y,,YY,12.17.2.4.8. 손익계산서,EA9Y505,000Y263,20220324,1189
